Takım Adı: Varol, Puanı: 0 
Takım Adı: v4gus, Puanı: 0 
Takım Adı: Whatever, Puanı: 100 
Takım Adı: Hackthehack, Puanı: 0 
Takım Adı: TekTuş, Puanı: 0 
Takım Adı: Next Level, Puanı: 0 
Takım Adı: self_xss, Puanı: 0 
Takım Adı: Dekares, Puanı: 225 
Takım Adı: pKwMnNwFGL, Puanı: 0 
Takım Adı: hackerpage, Puanı: 0 
Takım Adı: DEVILTUDORS, Puanı: 100 
Takım Adı: Fındıkzade, Puanı: 125 
Takım Adı: Raiden, Puanı: 0 
Takım Adı: Trileçe, Puanı: 380 
Takım Adı: 9SEC, Puanı: 500 
Takım Adı: Brain Overflow, Puanı: 125 
Takım Adı: DeathStar, Puanı: 0 
Takım Adı: Mancar, Puanı: 0 
Takım Adı: Lelele, Puanı: 0 
Takım Adı: reverse shell severim, Puanı: 0 
Takım Adı: isimbulamadık, Puanı: 0 
Takım Adı: gayışlar, Puanı: 125 
Takım Adı: Hack or Smack, Puanı: 185 
Takım Adı: Internet gitti, Puanı: 0 
Takım Adı: FalsePositive, Puanı: 0 
Takım Adı: pepega, Puanı: 690 
Takım Adı: SiberKovan, Puanı: 0 
Takım Adı: X3-ZEDS, Puanı: 240 
Takım Adı: Toman, Puanı: 0 
Takım Adı: Tirnakcilar, Puanı: 0 
Takım Adı: Comic-19, Puanı: 210 
Takım Adı: SoftSec, Puanı: 350 
Takım Adı: Kardeşler APT, Puanı: 610 
Takım Adı: anime kızları gerçektir, Puanı: 125 
Takım Adı: 1337, Puanı: 125 
Takım Adı: reset, Puanı: 0 
Takım Adı: TR-BrainOverflow, Puanı: 410 
Takım Adı: Cyberheros, Puanı: 560 
Takım Adı: ceek, Puanı: 560 
Takım Adı: Letmein, Puanı: 510 
Takım Adı: CyberEru, Puanı: 100 
Takım Adı: Parthenia, Puanı: 0 
Takım Adı: cay.icek.mi, Puanı: 510 
Takım Adı: Hunt3rSt4r, Puanı: 225 
Takım Adı: Hex2Text, Puanı: 600 
Takım Adı: AteşSuToprakTahta, Puanı: 530 
Takım Adı: f8warriors, Puanı: 410 
